Date,Open,High,Low,Close,Volume
2020-01-01,101.27,102.38,100.65,100.17,443769
2020-01-02,101.61,102.27,100.3,102.71,28535
2020-01-03,102.77,103.81,101.06,103.98,113372
2020-01-04,102.96,104.83,101.85,103.71,550759
2020-01-05,103.68,104.75,102.91,103.38,629762
2020-01-06,102.64,103.57,100.74,102.25,290238
2020-01-07,103.09,104.19,102.34,102.47,124193
2020-01-08,101.34,103.1,99.58,99.55,378794
2020-01-09,102.55,104.16,101.07,103.7,807330
2020-01-10,104.04,106.0,102.84,103.72,652021
2020-01-11,104.04,104.7,103.11,104.63,644462
2020-01-12,105.55,106.58,103.67,104.73,38679
2020-01-13,104.87,106.59,103.92,104.47,628264
2020-01-14,106.02,107.34,104.25,107.38,942714
2020-01-15,106.71,107.61,106.01,107.25,891905
2020-01-16,108.06,109.14,107.51,109.02,287266
2020-01-17,109.25,110.87,108.09,109.22,404610
2020-01-18,109.08,111.07,107.65,107.15,436398
2020-01-19,109.48,110.74,107.81,110.11,238209
2020-01-20,108.92,110.46,108.15,107.67,718808
2020-01-21,107.63,108.51,106.9,107.48,962328
2020-01-22,107.5,108.11,106.2,107.37,514394
2020-01-23,107.24,109.04,106.59,107.86,169437
2020-01-24,107.77,108.62,105.86,106.79,524261
2020-01-25,108.85,109.45,107.52,107.72,893233
2020-01-26,109.17,110.47,108.56,110.49,942948
2020-01-27,110.15,112.03,108.26,109.35,803444
2020-01-28,110.02,111.66,109.09,109.52,548906
2020-01-29,108.19,109.32,106.23,109.0,314434
2020-01-30,108.46,109.63,107.86,109.13,819354
2020-01-31,109.01,110.87,108.19,107.37,629807
2020-02-01,109.67,110.24,107.92,108.85,94820
2020-02-02,112.3,114.02,111.7,112.86,487409
2020-02-03,112.65,113.35,111.4,112.26,385689
2020-02-04,112.0,113.25,110.57,112.47,232629
2020-02-05,113.24,114.41,111.84,114.6,366653
2020-02-06,113.82,115.46,113.3,114.15,861352
2020-02-07,113.73,115.16,112.35,112.88,15999
2020-02-08,114.74,115.39,114.03,115.42,90156
2020-02-09,115.95,117.45,114.57,114.15,479951
2020-02-10,115.99,117.67,114.7,116.2,689778
2020-02-11,113.9,115.3,112.44,113.85,218765
2020-02-12,112.9,114.77,111.58,111.79,831142
2020-02-13,111.81,113.46,109.95,110.82,161553
2020-02-14,111.37,112.25,110.49,112.76,199496
2020-02-15,111.94,113.64,110.47,109.04,884907
2020-02-16,113.11,113.87,111.36,112.43,982891
2020-02-17,112.54,113.96,110.88,113.9,690509
2020-02-18,112.73,113.79,111.87,113.66,461784
2020-02-19,113.98,114.68,113.47,115.16,372413
